id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,47049.0,886442226919,1,984157021845.0,27799203838.0,48197.0,46224.0,-876.479878805105,-1.82882,-23784573003.11438,-2.61304,18914956.0,21000000.0,21000000.0,69045.0,-31.81841,2021-11-10T14:24:11.849Z,67.81,69324.1447,2013-07-06T00:00:00.000Z,,2021-12-30T10:23:18.133Z,0.15467005762091543
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,3704.97,439362448324,2,,17169355193.0,3813.7,3609.59,-105.545719831066,-2.76985,-16075947571.52832,-3.52977,118951056.999,,,4878.26,-24.00712,2021-11-10T14:24:19.604Z,0.432979,856092.11537,2015-10-20T00:00:00.000Z,"{'times': 104.42376222383635, 'currency': 'btc', 'percentage': 10442.376222383635}",2021-12-30T10:23:12.978Z,-0.0511610942163411
binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,521.07,87213974996,3,87213974996.0,2014931998.0,538.42,510.28,-17.358803212456,-3.224,-3699252791.083954,-4.06899,168137035.9,168137035.9,168137035.9,686.31,-24.06525,2021-05-10T07:24:17.097Z,0.0398177,1308728.06212,2017-10-19T00:00:00.000Z,,2021-12-30T10:20:16.726Z,0.2520179313388612
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,1.0,78323648794,4,,57606333670.0,1.01,0.984326,0.00385386,0.38567,-273234430.29841614,-0.34764,78344860297.4781,78344860297.4781,,1.32,-24.07057,2018-07-24T00:00:00.000Z,0.572521,75.47283,2015-03-02T00:00:00.000Z,,2021-12-30T10:24:08.392Z,0.09976398316207827
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,173.01,53364725757,5,,2001121574.0,177.44,169.09,-4.209461161708,-2.37535,-1701699329.5201035,-3.09027,309348754.358493,508180963.57,,259.96,-33.39455,2021-11-06T21:54:35.825Z,0.500801,34474.00617,2020-05-11T19:35:23.449Z,,2021-12-30T10:23:03.874Z,-0.11069433158629534
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,1.34,42820400976,6,60091516499.0,1394500703.0,1.42,1.31,-0.071114162226,-5.03098,-2720392596.3259354,-5.97353,32066390668.4135,45000000000.0,45000000000.0,3.09,-56.50132,2021-09-02T06:00:10.474Z,0.01925275,6874.41017,2020-03-13T02:22:55.044Z,,2021-12-30T10:22:26.933Z,0.6703768171138585
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,42153447928,7,,2995626469.0,1.01,0.991786,0.00297974,0.29799,-164325909.12306976,-0.38831,42151217165.8047,42170574854.8453,,1.17,-14.47725,2019-05-08T00:40:28.300Z,0.891848,12.45533,2021-05-19T13:14:05.611Z,,2021-12-30T10:21:01.957Z,0.13303819737299677
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.833231,39452963346,8,82996030023.0,2889656310.0,0.855461,0.811196,-0.022229556795,-2.59855,-1219158176.356842,-2.99753,47535964473.0,100000000000.0,100000000000.0,3.4,-75.48105,2018-01-07T00:00:00.000Z,0.00268621,30920.11371,2014-05-22T00:00:00.000Z,,2021-12-30T10:20:41.275Z,0.3350265445258139
terra-luna,luna,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,85.44,30841881556,9,85156657640.0,2610078537.0,87.47,81.46,-1.563171578003,-1.79677,-797482218.3065529,-2.52054,362178159.770444,834309530.59489,1000000000.0,103.34,-17.0873,2021-12-27T02:13:02.051Z,0.121798,70245.38439,2020-03-18T17:03:01.083Z,,2021-12-30T10:23:27.632Z,0.41216455592050494
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1639712644,27.41,29188636923,10,,1451211847.0,28.9,26.41,-0.923113380773,-3.25838,-1176079362.8252144,-3.87318,1069318342.28523,1150267477.9515,,54.98,-50.14953,2021-11-04T14:10:09.301Z,2.7,916.07754,2020-08-20T05:48:11.359Z,,2021-12-30T10:22:08.473Z,0.5228787204224267
avalanche-2,AVAX,Avalanche,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,102.68,24904743163,11,73718091984.0,1160819015.0,107.8,99.08,-4.72365237354,-4.39824,-1337116199.6613655,-5.09536,243243070.92886,377752194.4695483,720000000.0,144.96,-29.11004,2021-11-21T14:18:56.538Z,2.8,3568.71069,2020-12-31T13:15:21.540Z,,2021-12-30T10:23:24.689Z,0.06115662408333655
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.17266,22840900589,12,,1210724869.0,0.175688,0.166621,-0.003028213447,-1.72363,-709875436.7902756,-3.01423,132670764299.894,,,0.731578,-76.36944,2021-05-08T05:08:23.458Z,8.69e-05,198828.10893,2015-05-06T00:00:00.000Z,,2021-12-30T10:22:41.918Z,0.16740371318908007
shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,3.384e-05,18551953711,13,,1137480007.0,3.546e-05,3.319e-05,-1.598073e-06,-4.50937,-1038560892.4079857,-5.30135,549149580655182.2,1000000000000000.0,,8.616e-05,-60.69265,2021-10-28T03:54:55.568Z,5.6e-11,60083116.2614,2020-11-28T11:26:25.838Z,,2021-12-30T10:23:15.899Z,0.002274605155480959
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,2.5,17130434177,14,24924644171.0,2039133271.0,2.6,2.43,-0.058935144941,-2.30461,-476616717.0795059,-2.70697,6872890164.27,10000000000.0,10000000000.0,2.92,-14.1963,2021-12-27T02:08:34.307Z,0.00314376,79494.54504,2019-05-10T00:00:00.000Z,"{'times': 948.9368189201741, 'currency': 'usd', 'percentage': 94893.68189201741}",2021-12-30T10:24:08.761Z,-0.012813960390230549
binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,1.0,14820108344,15,,4167938789.0,1.01,0.983374,0.00065223,0.0651,-257270319.57074356,-1.70633,14829238995.46,14829238995.46,,1.15,-13.13805,2020-03-13T02:35:42.953Z,0.901127,11.25667,2021-05-19T13:04:37.445Z,,2021-12-30T10:21:34.865Z,0.3447235056077328
crypto-com-chain,cro,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,0.556975,14042316240,16,,264074667.0,0.573651,0.54194,-0.015294906295,-2.67267,-455703701.0075588,-3.14321,25263013692.0,30263013692.0,,0.965407,-42.30675,2021-11-24T15:53:54.855Z,0.0121196,4495.65368,2019-02-08T00:00:00.000Z,,2021-12-30T10:21:14.690Z,0.3435000686732261
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,46956.0,12097358306,17,12097358306.0,358320380.0,48122.0,46178.0,-926.438907894546,-1.93482,-416350705.39312935,-3.32716,258041.04976808,258041.04976808,258041.04976808,70643.0,-33.53564,2021-11-10T14:40:19.650Z,3139.17,1395.70221,2019-04-02T00:00:00.000Z,,2021-12-30T10:22:10.387Z,-0.09485587600523951
algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,1.64,10354762369,18,16264140240.0,620124069.0,1.64,1.41,0.166224,11.28347,902439721.0,9.54728,6366621424.10574,6810499534.73091,10000000000.0,3.56,-53.89248,2019-06-20T14:51:19.480Z,0.105336,1458.79038,2020-03-13T02:20:48.438Z,"{'times': -0.31692066395266877, 'currency': 'usd', 'percentage': -31.692066395266874}",2021-12-30T10:23:58.649Z,1.3335433933404444
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,147.07,10154744666,19,12308273767.0,961869595.0,151.11,143.98,-2.472870866054,-1.65359,-269103184.0329628,-2.58161,69302858.2334713,84000000.0,84000000.0,410.26,-64.1425,2021-05-10T03:13:07.904Z,1.15,12704.97089,2015-01-14T00:00:00.000Z,,2021-12-30T10:20:59.374Z,0.36109791918016787
terrausd,ust,TerraUSD,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407,1.0,10101365326,20,,200472265.0,1.02,0.990419,0.00351951,0.35182,8765054.0,0.08685,10081931008.7457,10081421644.5903,,1.09,-7.99844,2021-01-11T22:30:57.984Z,0.857992,17.08401,2021-05-19T13:14:26.898Z,,2021-12-30T10:22:49.196Z,0.11301337921514683
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,19.85,9242558685,21,19790941484.0,1106227847.0,20.79,19.29,-0.840857158401,-4.06387,-488998848.46525,-5.02488,467009550.4397637,1000000000.0,1000000000.0,52.7,-62.33595,2021-05-10T00:13:57.214Z,0.148183,13294.00988,2017-11-29T00:00:00.000Z,,2021-12-30T10:21:04.856Z,0.15295155690963788
near,near,Near,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,15.23,9072049603,22,15120411283.0,952252892.0,15.42,13.22,1.78,13.26576,945564937.0,11.6356,599986960.230225,1000000000.0,1000000000.0,16.33,-6.41166,2021-12-27T00:04:43.973Z,0.526762,2801.33292,2020-11-04T16:09:15.137Z,,2021-12-30T10:23:56.889Z,0.41211293869280974
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/4943.png?1636636734,1.0,8914770152,23,8914770152.0,328120889.0,1.01,0.987762,0.00476666,0.47776,-102703903.45543098,-1.13894,8915088173.59258,8915088173.59258,8915088173.59258,1.22,-17.75731,2020-03-13T03:02:50.373Z,0.903243,10.98686,2019-11-25T00:04:18.137Z,,2021-12-30T10:18:30.730Z,0.04532903618453869
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,431.88,8154057877,24,9040187305.0,1924914339.0,443.56,426.38,-11.22829824344,-2.53397,-275902179.17247677,-3.27288,18941556.1466526,21000000.0,21000000.0,3785.82,-88.5944,2017-12-20T00:00:00.000Z,76.93,461.24849,2018-12-16T00:00:00.000Z,,2021-12-30T10:22:28.056Z,0.028971807069345348
cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,28.64,8108488787,25,,970755582.0,28.66,25.5,2.39,9.10704,578698860.0,7.68546,285014805.682697,,,44.42,-35.47852,2021-09-20T00:05:25.062Z,1.16,2370.58928,2020-03-13T02:27:44.591Z,"{'times': 285.4025300511662, 'currency': 'usd', 'percentage': 28540.25300511662}",2021-12-30T10:21:08.763Z,1.5891190593999251
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.077484,7858642815,26,,1210828075.0,0.079286,0.07599,-0.001614753104,-2.04144,-257354195.67795658,-3.17095,101858215643.746,101900409184.273,,0.231673,-66.51696,2018-01-05T00:00:00.000Z,0.00180434,4199.13526,2017-11-12T00:00:00.000Z,"{'times': 39.78105109744127, 'currency': 'usd', 'percentage': 3978.105109744127}",2021-12-30T10:23:40.201Z,0.24128670845769348
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,17.12,7731948782,27,17094664393.0,378247860.0,18.72,16.83,-1.579131577225,-8.44331,-830340056.8330812,-9.69764,452301876.4425366,1000000000.0,1000000000.0,44.92,-61.8294,2021-05-03T05:25:04.822Z,1.03,1564.33468,2020-09-17T01:20:38.214Z,,2021-12-30T10:24:11.238Z,-0.2297931620012485
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,28.39,7468633305,28,,284136731.0,29.72,28.38,-1.28011374071,-4.31438,-347462865.73762417,-4.44548,262680011.32,300000000.0,,44.01,-35.2852,2021-05-03T01:03:16.108Z,0.580608,4804.8488,2019-01-14T00:00:00.000Z,,2021-12-30T10:22:56.701Z,-0.024353257683734312
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.269362,6639125779,29,13418820493.0,340895964.0,0.280238,0.263374,-0.008810795699,-3.16739,-272032891.6695223,-3.93614,24739004113.6302,50001802407.1399,50001802407.1399,0.875563,-69.22056,2018-01-03T00:00:00.000Z,0.00047612,56501.58956,2015-03-05T00:00:00.000Z,,2021-12-30T10:23:12.205Z,0.18000923656559645
axie-infinity,axs,Axie Infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1604471082,95.2,6434670163,30,25592643222.0,216073250.0,98.21,92.83,-2.848623373182,-2.90544,-248594164.05127525,-3.71965,67885170.31881255,270000000.0,270000000.0,164.9,-42.26966,2021-11-06T19:29:29.482Z,0.123718,76845.87993,2020-11-06T08:05:43.662Z,,2021-12-30T10:21:57.716Z,0.022621230793560168
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,3682.51,5974958935,31,5974958935.0,96629511.0,3797.87,3586.28,-108.08664090499,-2.85145,-192103420.88218498,-3.11499,1625880.35363041,1625880.35363041,1625880.35363041,4829.57,-23.75085,2021-11-10T14:40:47.256Z,482.9,662.58754,2020-12-22T04:08:21.854Z,,2021-12-30T10:21:21.317Z,-0.07092918600494652
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,0.084641,5623766357,32,,350050142.0,0.088641,0.081908,-0.003824017331,-4.32261,-317478468.8221855,-5.34364,66760741299.0,86712634466.0,,0.280991,-69.88608,2021-04-19T01:08:21.675Z,0.00191713,4313.74785,2020-03-13T02:29:59.652Z,"{'times': 6.990042745361012, 'currency': 'eth', 'percentage': 699.0042745361011}",2021-12-30T10:23:33.688Z,0.4190590317261508
ftx-token,ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,39.95,5514834208,33,13290408756.0,109584448.0,40.33,38.23,-0.293532437449,-0.72935,-82591731.24367046,-1.47553,138920527.11874422,334789863.185972,334789863.185972,84.18,-52.56602,2021-09-09T16:59:43.151Z,1.15,3373.11998,2019-09-06T00:00:00.000Z,,2021-12-30T10:22:11.350Z,-0.1037211344148104
fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom.png?1558015016,2.15,5423436171,34,6776219954.0,812698033.0,2.32,2.05,-0.163941759121,-7.07396,-498112161.1934376,-8.41186,2541152731.01,3175000000.0,3175000000.0,3.46,-37.65086,2021-10-28T05:19:39.845Z,0.00190227,113258.84332,2020-03-13T02:25:38.280Z,"{'times': 70.78657439962433, 'currency': 'usd', 'percentage': 7078.657439962433}",2021-12-30T10:23:14.172Z,0.34328946801810617
compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,74.21,5386304063,35,,37650576.0,76.68,72.65,-2.321322258882,-3.03322,-232754748.6186037,-4.14224,72729040.8911545,72729040.8911545,,97.75,-24.11874,2021-11-21T12:39:57.508Z,1.89,3832.29195,2020-03-13T02:22:33.711Z,,2021-12-30T10:23:30.697Z,-0.0507519665071192
